"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"Trinity Bible College and Graduate School - North Dakota",25,22,23,25,22,22,22,,,,,,,
"College of the Ozarks - Missouri",25,26,26,26,25,25,25,25,25,24,25,25,26,26
"Gardner-Webb University - North Carolina",25,24,24,25,24,24,25,25,25,24,23,23,24,23
"Colorado State University-Global Campus - Colorado",25,22,,,,,,,,,,,,
"Viterbo University - Wisconsin",25,25,26,26,26,26,26,26,25,26,25,24,24,24
"Troy University - Alabama",25,24,24,25,24,26,26,24,24,24,23,22,23,23
"Truett McConnell University - Georgia",25,24,22,23,22,22,23,22,23,20,19,20,20,19
"University of Arkansas at Little Rock - Arkansas",25,25,25,25,25,24,25,27,25,25,,,,
"Central College - Iowa",25,25,27,26,26,26,27,26,26,26,27,29,29,26
"University of North Georgia - Georgia",25,26,25,25,25,24,24,24,,,,,,
"Delaware Valley University - Pennsylvania",25,27,27,25,26,25,24,25,25,27,25,23,25,25
"Carson-Newman University - Tennessee",25,29,26,26,26,26,26,26,25,25,25,25,25,25
"Bushnell University - Oregon",25,21,23,23,24,23,24,23,23,25,23,28,23,23
"University of North Carolina at Greensboro - North Carolina",25,25,25,25,25,25,25,25,23,24,24,23,23,24
"California Baptist University - California",25,24,25,25,24,24,24,24,23,24,24,23,23,22
"University of New Mexico-Main Campus - New Mexico",25,25,25,25,25,25,25,25,25,25,25,25,25,25
"California State Polytechnic University-Humboldt - California",25,25,24,24,24,24,24,24,25,25,25,25,24,25
"University of Nevada-Las Vegas - Nevada",25,25,24,24,24,25,24,24,24,24,24,24,24,24
"Concordia University-Chicago - Illinois",25,26,25,24,24,25,24,24,23,25,24,25,25,26
"SUNY College at Plattsburgh - New York",25,25,25,25,25,25,25,24,25,24,24,24,25,24
"SUNY College of Agriculture and Technology at Cobleskill - New York",25,24,,22,24,22,22,22,23,23,23,23,24,
"University of Mount Union - Ohio",25,25,26,25,26,26,25,25,25,25,25,25,25,25
"SUNY Oneonta - New York",25,26,26,25,26,25,25,25,26,25,25,25,25,25
"Sweet Briar College - Virginia",25,27,26,28,27,27,28,27,27,27,27,26,25,26
"Eastern Kentucky University - Kentucky",25,26,26,25,25,25,24,24,24,23,24,23,23,23
"Tennessee Wesleyan University - Tennessee",25,25,25,24,25,25,25,24,24,24,24,23,24,23
"Texas State University - Texas",25,25,26,26,25,25,25,25,25,25,25,25,25,25
"Campbell University - North Carolina",25,25,25,25,25,24,27,27,28,28,24,29,,
"The Baptist College of Florida - Florida",25,21,22,22,22,22,22,27,26,22,22,22,22,24
"University of Mary Hardin-Baylor - Texas",25,25,25,25,26,26,26,27,25,26,28,25,24,25
"The Southern Baptist Theological Seminary - Kentucky",25,26,25,25,26,26,,,,,,,,
"University of Indianapolis - Indiana",25,25,25,25,26,25,25,25,25,25,25,25,25,24
"University of Akron Main Campus - Ohio",25,25,26,26,26,26,26,25,24,,,,,
"St Catherine University - Minnesota",25,25,25,26,25,25,25,25,26,26,26,25,26,25
"Kennesaw State University - Georgia",25,26,26,26,26,25,,,,,,,,
"Winthrop University - South Carolina",25,24,25,25,25,26,26,25,25,25,25,25,24,24
"Winona State University - Minnesota",25,24,24,25,25,25,25,25,25,25,25,24,24,24
"Northern State University - South Dakota",25,25,24,24,24,25,25,25,24,24,24,24,23,23
"Rhode Island College - Rhode Island",25,19,20,22,20,21,21,22,21,20,21,22,22,
"Northwest Nazarene University - Idaho",25,26,27,27,27,27,26,28,27,,,,,
"Anderson University - Indiana",25,25,25,25,25,25,25,25,25,25,26,25,26,26
"Northwest University - Washington",25,26,26,26,26,24,25,28,25,26,24,25,24,26
"Husson University - Maine",25,23,22,25,23,23,,,,,,,,
"Northwood University - Michigan",25,25,24,25,24,24,24,24,25,24,23,23,23,23
"Lubbock Christian University - Texas",25,25,25,25,25,25,24,24,25,24,24,23,24,24
"Lindenwood University - Missouri",25,25,25,25,25,25,25,25,25,24,24,24,24,26
"King University - Tennessee",25,25,25,26,,25,26,25,24,26,25,24,,25
"Lincoln Memorial University - Tennessee",25,25,25,25,24,27,27,27,25,25,24,23,23,23
"Hartwick College - New York",25,25,26,26,25,,,27,27,27,27,26,26,
"Quincy University - Illinois",25,25,25,24,24,24,25,25,24,24,24,25,24,24
"Limestone University - South Carolina",25,24,23,22,23,21,23,23,22,20,26,20,23,21
"McNeese State University - Louisiana",25,24,25,25,24,24,24,24,24,24,23,23,23,23
"Wright State University-Main Campus - Ohio",25,25,25,25,25,25,,,,,,,,
"Huntington University - Indiana",25,25,26,24,25,26,26,27,27,27,26,27,29,28
"Alcorn State University - Mississippi",25,24,22,22,21,20,20,19,20,19,19,20,20,20
"Houston Baptist University - Texas",25,24,25,25,26,26,25,27,25,27,25,25,24,28
"York College - Nebraska",25,22,22,24,23,22,23,22,25,24,24,25,26,28
"Piedmont University - Georgia",25,24,25,24,24,24,23,24,25,25,23,22,23,22
"North Park University - Illinois",25,25,25,24,24,24,25,25,25,25,25,24,25,25
"Meredith College - North Carolina",25,25,26,25,26,25,,25,25,24,24,24,23,23
"Presbyterian College - South Carolina",25,26,25,27,28,27,26,28,27,27,27,26,27,26
"Indiana University-Purdue University-Indianapolis - Indiana",25,25,26,26,26,25,25,25,25,25,24,24,23,23
"Missouri Southern State University - Missouri",25,24,24,24,24,25,24,24,24,24,24,25,25,19
"Purdue University Fort Wayne - Indiana",25,25,25,25,24,25,25,24,24,24,24,24,23,24
"Purdue University Northwest - Indiana",25,24,25,25,,,,,,,,,,
"Life Pacific University - California",25,19,22,21,21,20,21,22,23,22,21,24,21,25
"Old Dominion University - Virginia",25,24,24,25,25,24,23,23,23,24,23,23,22,22
"Ripon College - Wisconsin",25,25,27,26,26,27,27,28,27,27,27,27,27,27
"Lasell University - Massachusetts",25,25,25,23,22,23,23,23,23,23,22,23,24,22
"Kentucky Wesleyan College - Kentucky",25,26,26,26,24,25,25,25,24,24,24,25,24,24
"Xavier University of Louisiana - Louisiana",25,26,26,26,26,26,25,26,25,24,24,23,23,24
"Nebraska Methodist College of Nursing & Allied Health - Nebraska",25,24,24,25,24,26,26,25,24,23,25,22,23,23
"Louisiana State University-Shreveport - Louisiana",25,24,25,24,25,24,25,24,25,24,24,,24,20
"Marietta College - Ohio",25,26,26,25,26,27,27,27,26,26,27,26,26,26
"Westfield State University - Massachusetts",25,24,25,25,24,24,23,22,24,24,23,23,22,23
"Saginaw Valley State University - Michigan",25,25,26,25,25,25,25,24,24,24,24,24,24,23
"Manhattan Christian College - Kansas",25,23,25,25,25,25,25,24,,,,,,
"Saint Ambrose University - Iowa",25,25,26,26,25,25,25,25,26,25,25,25,24,25
"Saint Louis Christian College - Missouri",25,16,22,20,18,24,24,23,24,21,24,,23,24
"Mount St. Mary's University - Maryland",25,24,25,24,24,24,24,23,23,23,25,,,
"Marshall University - West Virginia",25,25,25,25,24,25,25,24,24,24,25,25,25,25
"Malone University - Ohio",25,26,25,24,25,25,25,26,26,26,26,25,25,25
"Maine Maritime Academy - Maine",25,26,27,24,25,26,24,24,24,24,,25,23,23
"Adrian College - Michigan",25,24,26,25,24,24,24,24,26,24,25,25,25,25
"East Central University - Oklahoma",24,23,23,23,23,23,24,23,23,23,24,22,22,23
"Mississippi University for Women - Mississippi",24,25,24,23,24,24,23,24,25,24,24,24,23,24
"Aultman College of Nursing and Health Sciences - Ohio",24,22,23,23,22,25,27,24,23,23,24,27,22,
"The King's University - Texas",24,24,25,26,27,29,23,,,,,,,
"Dominican University - Illinois",24,25,24,25,25,24,24,24,24,24,25,24,25,25
"Columbia International University - South Carolina",24,25,23,25,26,26,23,25,26,26,25,25,25,25
"East Carolina University - North Carolina",24,24,25,24,24,24,24,24,24,24,23,23,22,22
"Tusculum University - Tennessee",24,23,24,24,23,23,24,23,23,24,24,24,24,23
"Ursuline College - Ohio",24,23,24,24,24,24,25,24,22,24,23,23,23,22
"Texas Lutheran University - Texas",24,24,25,24,23,23,24,25,24,24,23,24,24,23
"Indiana University-East - Indiana",24,23,24,23,23,23,23,23,24,23,22,21,22,21
"Wright State University-Lake Campus - Ohio",24,24,23,23,24,23,,,,,,,,
"Minnesota State University-Mankato - Minnesota",24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Austin Peay State University - Tennessee",24,24,24,24,24,24,24,24,23,23,24,24,24,24
"Ashland University - Ohio",24,24,25,25,25,25,25,25,25,25,25,24,25,25
"University of California-Merced - California",24,25,27,27,24,25,25,24,24,24,24,24,25,24
"Texas A & M University-Corpus Christi - Texas",24,24,23,23,23,23,23,23,23,22,,,23,21
"Minnesota State University Moorhead - Minnesota",24,24,25,25,25,25,25,25,25,24,24,24,24,24
"Waynesburg University - Pennsylvania",24,23,25,24,25,26,25,25,26,24,,,,
"College of Our Lady of the Elms - Massachusetts",24,24,23,25,23,24,23,22,25,24,23,23,21,24
"University of Central Oklahoma - Oklahoma",24,24,24,24,24,24,24,24,24,24,24,23,23,24
"Indiana University of Pennsylvania-Main Campus - Pennsylvania",24,23,23,23,23,22,23,22,,,,,,
"California State University-Chico - California",24,24,24,25,24,24,24,24,24,25,24,24,23,23
"Minot State University - North Dakota",24,23,23,24,23,24,25,24,25,24,24,24,24,23
"Nicholls State University - Louisiana",24,25,24,24,24,24,24,24,23,24,23,23,23,23
"University of Connecticut-Waterbury Campus - Connecticut",24,26,25,25,25,22,26,24,24,23,24,23,24,23
"Carlow University - Pennsylvania",24,24,24,24,24,23,22,23,22,23,23,23,24,25
"Mount Saint Mary College - New York",24,24,24,24,24,24,24,24,25,24,23,23,23,22
"Tuskegee University - Alabama",24,23,27,24,22,23,22,22,22,22,22,22,21,21
"Corban University - Oregon",24,26,26,26,26,27,25,26,25,26,26,25,25,24
"North Greenville University - South Carolina",24,28,30,28,29,29,30,29,29,29,29,29,24,24
"Union College - Nebraska",24,26,24,26,26,26,25,26,25,25,26,25,25,25
"Cottey College - Missouri",24,24,25,23,26,26,25,25,26,24,24,25,24,25
"Northeastern State University - Oklahoma",24,24,23,24,24,23,24,23,23,23,23,23,23,23
"Northwest Missouri State University - Missouri",24,25,24,25,25,25,25,25,25,25,25,22,25,24
"North Central University - Minnesota",24,24,24,28,25,25,26,26,25,25,25,24,24,24
"Johnson University - Tennessee",24,24,25,25,25,25,25,24,25,26,25,26,26,31
"Mount Saint Joseph University - Ohio",24,23,25,24,24,,24,24,24,25,24,24,24,23
"AdventHealth University - Florida",24,21,22,23,22,21,21,20,20,20,,,,
"Cedar Crest College - Pennsylvania",24,24,26,26,24,26,23,24,23,23,28,27,27,26
"LaGrange College - Georgia",24,23,23,24,24,24,24,23,25,23,25,24,24,23
"Kettering College - Ohio",24,25,24,25,,,,22,24,24,24,22,24,23
"Concordia University Texas - Texas",24,23,24,24,24,24,25,25,24,25,24,23,25,25
"Concordia University Ann Arbor - Michigan",24,23,23,24,24,23,25,24,24,24,24,26,25,26
"Central Washington University - Washington",24,24,24,24,24,25,24,23,24,24,23,23,23,23
"University of Jamestown - North Dakota",24,25,24,24,25,28,27,24,24,25,25,25,25,25
"Montreat College - North Carolina",24,23,25,24,23,23,24,23,24,25,26,24,23,
"Charleston Southern University - South Carolina",24,31,26,22,24,25,24,23,24,24,27,22,22,21
"Wilson College - Pennsylvania",24,24,22,26,26,22,24,24,24,27,21,22,23,25
"Wilmington College - Ohio",24,23,23,24,23,22,23,24,23,23,23,24,23,23
"Jacksonville State University - Alabama",24,24,26,26,26,26,26,26,26,25,22,22,22,22
"Kutztown University of Pennsylvania - Pennsylvania",24,24,24,24,22,22,22,22,22,21,22,22,22,21
"Williams Baptist University - Arkansas",24,23,22,22,23,24,23,24,25,24,24,23,23,24
"Baker University - Kansas",24,25,25,25,25,25,26,26,26,25,26,26,26,26
"University of Louisiana at Monroe - Louisiana",24,24,25,25,25,25,25,25,24,24,23,23,24,23
"D'Youville College - New York",24,24,23,26,23,25,25,25,25,25,24,24,25,23
"University of Houston-Clear Lake - Texas",24,24,24,24,23,24,25,,,,,,,
"University of New Orleans - Louisiana",24,25,25,25,24,24,25,25,25,24,24,24,24,24
"Midland University - Nebraska",24,24,23,23,24,23,26,23,24,26,24,23,23,23
"Louisiana College - Louisiana",24,23,23,24,23,23,24,23,24,24,24,24,24,23
"University of Wisconsin-Stevens Point - Wisconsin",24,25,25,25,25,25,25,25,25,26,25,25,25,25
"West Virginia Wesleyan College - West Virginia",24,24,25,25,25,25,25,25,25,26,25,26,26,25
"Southeastern Louisiana University - Louisiana",24,24,24,24,24,24,24,24,24,24,24,23,23,23
"University of Wisconsin-Superior - Wisconsin",24,23,24,23,24,23,24,24,24,24,24,24,24,24
"Southeastern University - Florida",24,24,24,24,24,23,23,23,,,,,,
"Florida Agricultural and Mechanical University - Florida",24,23,23,22,24,23,22,22,22,22,21,,,21
"Guilford College - North Carolina",24,24,,,,,,26,26,26,26,26,26,26
"University of Wisconsin-Whitewater - Wisconsin",24,24,24,24,25,25,25,24,25,25,24,24,24,24
"University of Saint Katherine - California",24,18,22,,,,,,,,,,,
"University of Saint Joseph - Connecticut",24,,,22,,22,23,22,,23,20,,,22
"Midway University - Kentucky",24,23,23,23,23,,,25,24,26,22,21,22,
"Mary Baldwin University - Virginia",24,22,24,26,25,25,24,25,26,26,23,23,29,24
"Southern Wesleyan University - South Carolina",24,23,23,,,,,22,24,24,23,22,23,23
"Hannibal-LaGrange University - Missouri",24,25,,,,,,25,27,25,26,25,24,25
"Rocky Mountain College - Montana",24,24,25,25,24,25,26,25,25,25,26,21,25,24
"Youngstown State University - Ohio",24,24,24,25,25,24,24,,,,,,,
"Black Hills State University - South Dakota",24,24,24,24,24,23,22,23,23,23,23,23,24,23
"University of Wisconsin-Oshkosh - Wisconsin",24,24,24,24,24,24,24,24,24,24,24,24,24,24
"University of Wisconsin-Green Bay - Wisconsin",24,24,25,25,25,25,25,25,25,25,25,25,25,25
"Saint Joseph's College of Maine - Maine",24,23,23,,23,26,,,,26,,,,
"University of Washington-Tacoma Campus - Washington",24,24,23,24,23,22,23,23,23,23,26,21,21,
"Bellin College - Wisconsin",24,24,25,28,26,25,23,24,25,25,26,27,26,25
"Saint Cloud State University - Minnesota",24,24,24,24,24,25,24,24,24,24,24,24,24,23
"Saint Xavier University - Illinois",24,24,24,23,24,23,24,24,25,25,25,23,24,24
"Bemidji State University - Minnesota",24,24,24,24,24,24,24,23,23,24,24,23,28,
"San Diego Christian College - California",24,23,24,22,21,23,25,22,22,23,23,24,21,23
"Friends University - Kansas",24,25,24,25,24,24,25,24,26,25,25,25,25,22
"Madonna University - Michigan",24,24,25,24,23,24,26,25,,25,24,24,25,24
"Western Illinois University - Illinois",24,25,23,23,23,23,23,23,23,23,23,23,23,23
"Franciscan Missionaries of Our Lady University - Louisiana",24,24,24,23,23,23,23,23,23,23,22,21,,
"University of the Cumberlands - Kentucky",24,24,26,25,25,25,25,25,23,24,24,23,24,24
"University of Wisconsin-Milwaukee - Wisconsin",24,24,25,25,25,25,24,24,24,24,24,24,24,24
"Rutgers University-Camden - New Jersey",24,22,23,,,,,,,,,,,
"Shorter University - Georgia",24,23,24,24,23,24,23,23,23,24,23,23,22,23
"Hardin-Simmons University - Texas",24,23,24,24,24,25,25,25,25,26,25,25,25,24
"Reinhardt University - Georgia",24,25,23,23,23,22,22,25,23,,23,,22,22
"University of Pittsburgh-Greensburg - Pennsylvania",24,25,26,25,25,25,24,24,24,22,23,23,24,26
"Eastern Nazarene College - Massachusetts",24,23,23,23,26,24,22,24,23,28,24,27,22,25
"Pacific Union College - California",24,25,25,24,25,23,27,25,24,25,25,24,24,
"Huntingdon College - Alabama",24,24,24,24,24,23,24,24,24,23,24,24,26,24
"Lees-McRae College - North Carolina",24,,,,,,,,22,26,24,24,22,24
"Eastern University - Pennsylvania",24,27,25,26,23,27,26,24,22,23,23,23,24,25
"Cabrini University - Pennsylvania",24,27,,23,23,,22,23,23,22,,,,21
"Hope International University - California",24,23,23,26,23,22,20,22,24,22,25,23,22,27
"Bryn Athyn College of the New Church - Pennsylvania",24,20,28,23,23,23,24,25,32,30,23,27,24,
"Portland State University - Oregon",24,24,25,25,25,25,25,,,,,,,
"Prescott College - Arizona",24,,,27,28,27,28,30,25,26,27,26,28,27
"Randolph College - Virginia",24,25,25,25,26,24,29,28,27,26,26,29,,29
"Stephens College - Missouri",24,25,26,25,25,24,26,26,26,26,25,25,28,27
"Stephen F Austin State University - Texas",24,24,24,24,24,24,24,24,23,23,23,23,23,23
"Hiram College - Ohio",24,25,25,24,25,27,25,25,25,25,25,26,25,25
"Henderson State University - Arkansas",24,24,25,25,25,24,24,24,24,24,26,25,25,25
"Georgia Southern University - Georgia",24,25,25,26,26,25,25,25,24,25,24,24,23,23
"Heidelberg University - Ohio",24,24,25,25,25,25,25,,,,24,24,24,24
"Mercy College of Health Sciences - Iowa",24,,,22,23,,,,,,,,23,23
"Emory & Henry College - Virginia",24,25,24,25,25,24,25,25,26,26,25,25,25,26
"Hawaii Pacific University - Hawaii",24,25,26,25,,,,25,23,24,23,24,24,24
"Farmingdale State College - New York",24,24,24,23,23,23,23,23,21,,,,,
"Missouri Baptist University - Missouri",23,23,23,23,23,23,23,24,23,24,24,24,24,24
"University of the Ozarks - Arkansas",23,23,23,23,24,25,26,26,25,26,25,25,25,24
"Methodist University - North Carolina",23,22,23,23,23,23,24,23,22,22,22,23,23,22
"Avila University - Missouri",23,23,23,23,23,24,25,24,26,25,25,24,25,23
"Mount Saint Mary's University - California",23,22,22,21,22,21,21,22,21,22,21,21,,
"University of Virginia's College at Wise - Virginia",23,25,25,23,23,22,23,22,23,22,22,21,22,21
"Caldwell University - New Jersey",23,23,22,22,23,24,23,25,21,23,,24,24,
"Mount Carmel College of Nursing - Ohio",23,22,22,23,23,23,24,24,23,24,24,24,24,22
"University of Providence - Montana",23,23,,,,,,,,,,,,
"Lamar University - Texas",23,23,23,23,23,24,23,23,22,23,21,21,21,21
"Mayville State University - North Dakota",23,23,25,23,23,,,,,,,,,
"Lourdes University - Ohio",23,23,24,24,24,24,22,,,,,,,
"Brenau University - Georgia",23,23,23,23,24,23,,21,,,,,23,23
"University of Charleston - West Virginia",23,24,23,22,24,24,23,24,26,25,24,25,25,25
"University of La Verne - California",23,24,26,25,26,24,23,25,23,23,24,23,24,23
"Yellowstone Christian College - Montana",23,,,,,,,,,,,,,
"University of the Incarnate Word - Texas",23,23,22,23,20,23,23,23,23,23,23,22,22,23
"California State University-Fullerton - California",23,24,24,24,24,24,24,24,24,24,23,23,22,22
"Central Methodist University-College of Liberal Arts and Sciences - Missouri",23,25,24,25,24,25,25,24,24,24,24,24,24,23
"Blue Mountain College - Mississippi",23,23,25,23,23,24,26,25,,24,,,,
"California University of Pennsylvania - Pennsylvania",23,23,23,23,22,22,22,21,,,,,20,21
"University of Saint Mary - Kansas",23,23,23,24,24,23,24,24,25,23,24,22,25,23
"California State University-Sacramento - California",23,22,22,23,22,23,22,22,23,23,22,23,24,22
"University of South Carolina Aiken - South Carolina",23,23,22,23,24,23,23,23,23,23,23,23,22,22
"Blackburn College - Illinois",23,23,22,23,23,24,24,25,26,23,24,25,24,25
"University of Dubuque - Iowa",23,22,22,22,22,23,23,22,23,23,23,23,22,23
"Longwood University - Virginia",23,24,23,23,23,23,23,23,23,24,24,28,25,
"Vanguard University of Southern California - California",23,24,23,24,24,24,24,28,24,25,,23,24,24
"Cardinal Stritch University - Wisconsin",23,22,22,23,22,24,24,24,24,24,25,24,24,24
"Valdosta State University - Georgia",23,23,23,23,23,23,24,24,23,23,23,23,22,22
"University of Wisconsin-Parkside - Wisconsin",23,23,23,23,23,23,23,23,23,23,22,23,22,22
"Upper Iowa University - Iowa",23,23,23,23,24,22,23,24,25,24,22,22,22,22
"Lake Erie College - Ohio",23,,23,23,22,23,23,23,23,24,22,24,23,23
"California State University-Monterey Bay - California",23,23,23,24,,,,24,23,23,23,23,23,24
"Baptist Health Sciences University - Tennessee",23,24,24,28,27,27,25,27,26,26,24,24,24,23
"La Sierra University - California",23,24,23,22,22,22,23,22,22,20,22,22,23,23
"Chaminade University of Honolulu - Hawaii",23,23,23,23,23,22,22,23,24,22,22,22,23,22
"Mercy College of Ohio - Ohio",23,22,,,,,,,,,,,,
"Belhaven University - Mississippi",23,,,,,,,25,25,25,24,26,26,27
"Immaculata University - Pennsylvania",23,24,28,23,23,23,23,21,23,21,,21,22,
"Texas A&M University-Texarkana - Texas",23,23,23,23,22,24,22,23,23,24,,,,
"Auburn University at Montgomery - Alabama",23,23,23,24,24,23,24,23,24,23,23,22,22,23
"Indiana University-Northwest - Indiana",23,22,23,22,23,23,22,23,24,24,22,22,20,22
"East Stroudsburg University of Pennsylvania - Pennsylvania",23,21,24,25,24,24,22,22,,,,,,
"Texas Wesleyan University - Texas",23,24,24,24,23,23,23,22,24,23,21,24,24,24
"West Virginia University Institute of Technology - West Virginia",23,24,27,27,24,24,24,24,23,23,23,24,24,24
"Greenville University - Illinois",23,24,24,24,25,25,26,25,26,25,27,26,26,25
"Southeastern Oklahoma State University - Oklahoma",23,23,23,23,23,23,23,22,23,22,23,23,23,24
"Oklahoma Wesleyan University - Oklahoma",23,23,21,24,23,23,25,24,24,25,,,,
"Indiana University-South Bend - Indiana",23,23,23,24,23,23,23,23,23,23,23,22,23,22
"Southeast Missouri Hospital College of Nursing and Health Sciences - Missouri",23,23,22,23,2,23,,3,,,,,,
"Grand View University - Iowa",23,22,23,23,23,23,23,23,23,23,23,23,23,23
"Indiana University-Southeast - Indiana",23,23,23,22,23,23,23,23,23,22,22,22,22,22
"Sonoma State University - California",23,23,23,24,24,24,23,24,24,24,24,24,24,24
"Ohio Valley University - West Virginia",23,23,24,23,23,,23,23,25,24,23,24,23,24
"Eureka College - Illinois",23,23,25,24,25,25,26,26,27,26,24,25,26,25
"Rochester University - Michigan",23,21,23,23,24,23,23,24,23,24,23,24,,
"Wayland Baptist University - Texas",23,22,22,23,22,23,23,23,23,22,23,22,22,24
"Augsburg University - Minnesota",23,23,24,24,25,25,26,25,24,25,25,25,25,25
"Texas A & M University-Commerce - Texas",23,24,23,23,23,24,22,24,23,24,22,22,22,22
"Appalachian Bible College - West Virginia",23,23,23,25,20,23,25,26,25,26,25,25,26,25
"St. Francis College - New York",23,25,,24,24,22,,,,,,,,
"Faulkner University - Alabama",23,23,23,22,23,24,,,,25,23,23,24,23
"Spalding University - Kentucky",23,22,23,23,23,23,23,22,22,21,21,22,20,21
"Southwestern Oklahoma State University - Oklahoma",23,24,24,24,24,24,24,24,24,24,24,23,24,24
"Wheeling University - West Virginia",23,23,24,24,23,25,25,24,26,25,25,25,25,24
"Edinboro University of Pennsylvania - Pennsylvania",23,23,23,23,23,23,22,22,22,22,22,21,20,21
"Eastern Washington University - Washington",23,24,23,24,23,23,23,23,23,23,23,23,23,32
"Southwestern Adventist University - Texas",23,22,23,24,23,22,21,22,,,22,24,22,
"Southwest Minnesota State University - Minnesota",23,24,23,24,23,24,23,24,24,24,24,25,24,24
"Eastern New Mexico University-Main Campus - New Mexico",23,22,22,22,23,23,22,22,23,23,23,22,22,22
"SUNY College of Technology at Canton - New York",23,23,22,22,22,,,,,,,,,
"SUNY Morrisville - New York",23,22,21,23,22,21,23,21,23,22,24,23,,
"Aurora University - Illinois",23,23,23,23,24,23,24,24,24,24,24,24,23,23
"Tabor College - Kansas",23,22,24,24,24,25,25,27,25,25,25,25,26,25
"West Liberty University - West Virginia",23,24,23,23,23,24,23,24,23,23,23,22,22,22
"Tarleton State University - Texas",23,23,23,23,23,23,23,23,23,23,23,23,22,22
"West Texas A & M University - Texas",23,23,24,23,24,23,23,24,23,24,23,23,23,23
"Eastern Illinois University - Illinois",23,23,22,23,24,24,24,24,24,23,24,24,23,24
"William Peace University - North Carolina",23,22,24,23,22,21,21,21,22,23,19,21,20,19
"Delta State University - Mississippi",23,24,24,23,25,23,23,22,22,23,22,20,22,22
"Florida School of Traditional Midwifery - Florida",23,,,,,,,,,,,,,
"Criswell College - Texas",23,20,21,,,,,,,,,,,
"San Francisco State University - California",23,23,23,24,24,24,24,24,24,24,24,23,23,23
"Frostburg State University - Maryland",23,23,23,23,24,22,21,22,22,21,22,20,21,22
"Sam Houston State University - Texas",23,23,23,23,24,24,23,23,22,23,22,23,22,23
"Concordia College - New York",23,22,23,24,25,,22,20,24,20,26,19,20,22
"Salem College - North Carolina",23,23,28,29,27,29,27,27,27,27,28,28,25,27
"Rockford University - Illinois",23,25,23,23,24,24,24,25,23,23,24,24,24,23
"University of Akron Wayne College - Ohio",23,,,,,,,,,,,,,
"Columbus State University - Georgia",23,22,23,24,23,23,23,23,22,22,22,22,22,21
"Judson College - Alabama",23,21,23,25,24,25,,24,24,25,28,26,25,22
"Judson University - Illinois",23,25,25,25,24,26,26,27,26,26,26,,,
"Saint Mary-of-the-Woods College - Indiana",23,23,23,23,22,23,23,22,23,26,26,25,25,28
"Colorado State University Pueblo - Colorado",23,24,24,23,23,23,23,23,23,23,22,22,23,22
"New Mexico State University-Main Campus - New Mexico",23,23,23,23,24,24,24,24,24,24,23,24,23,23
"Antioch College - Ohio",23,,31,,,,,,,,,,,
"Western Oregon University - Oregon",23,23,,,23,22,24,,,22,22,22,23,23
"Crown College - Minnesota",23,23,24,25,25,25,25,24,25,25,24,25,29,24
"Randall University - Oklahoma",23,24,22,22,22,24,22,20,21,22,22,23,21,24
"Nyack College - New York",23,24,23,23,25,22,26,22,25,23,22,22,26,26
"Dakota Wesleyan University - South Dakota",23,24,24,24,24,24,27,27,26,25,26,25,24,23
"Good Samaritan College of Nursing and Health Science - Ohio",23,17,24,24,23,24,20,22,21,24,22,21,23,23
"Angelo State University - Texas",23,23,23,22,24,23,24,23,23,23,23,23,23,22
"Northwestern State University of Louisiana - Louisiana",23,24,24,24,24,24,24,24,24,24,23,23,23,23
"Shippensburg University of Pennsylvania - Pennsylvania",23,23,23,22,23,23,23,22,22,22,,,,
"Schreiner University - Texas",23,23,23,24,24,24,24,24,24,24,23,24,23,23
"Fontbonne University - Missouri",23,23,24,26,25,25,25,25,25,24,25,24,24,23
"The University of Tennessee Southern - Tennessee",23,22,24,23,,,,,,,22,23,,
"Rutgers University-Newark - New Jersey",23,25,24,,,,,,,,,,,
"Southwestern Assemblies of God University - Texas",22,22,23,24,25,23,,,,,,,,
"University of West Georgia - Georgia",22,22,22,22,22,22,22,22,21,22,22,22,22,22
"University of West Alabama - Alabama",22,22,23,23,23,21,23,22,23,22,34,22,21,21
"Beckfield College-Florence - Kentucky",22,22,,,,,,,,,,,,
"Georgia Southwestern State University - Georgia",22,21,22,23,23,24,23,22,22,20,21,20,21,20
"Saint Martin's University - Washington",22,24,24,24,25,26,28,25,25,25,24,23,23,24
"Southwestern College - Kansas",22,24,23,23,23,24,25,25,25,24,24,25,25,24
"Boise Bible College - Idaho",22,23,23,26,24,28,24,23,23,24,22,21,20,21
"Georgian Court University - New Jersey",22,25,24,22,23,,,,,,,,,
"Greensboro College - North Carolina",22,21,22,22,23,20,20,21,23,23,20,21,23,20
"University of South Carolina Beaufort - South Carolina",22,22,22,22,24,22,22,22,22,22,22,21,22,21
"Louisiana State University-Alexandria - Louisiana",22,22,22,22,23,22,23,22,23,22,23,23,22,
"Mansfield University of Pennsylvania - Pennsylvania",22,22,23,22,24,22,23,23,,,23,22,22,
