"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"Denison University - Ohio",32,31,31,31,32,,,31,31,30,30,30,31,30
"Trinity University - Texas",32,32,32,32,31,32,31,31,31,31,31,31,31,31
"Fordham University - New York",32,32,32,31,31,31,30,30,30,30,30,29,29,28
"St Olaf College - Minnesota",32,32,32,31,31,31,32,31,31,32,31,31,31,30
"St Lawrence University - New York",32,31,30,30,,,,,,,,,,
"University of Wisconsin-Madison - Wisconsin",32,32,32,31,31,31,31,30,30,30,30,30,30,30
"Stony Brook University - New York",32,32,31,31,31,31,30,30,29,29,28,28,,
"Soka University of America - California",32,32,30,31,30,30,29,29,28,27,30,,29,
"Texas A & M University-College Station - Texas",32,31,31,30,30,30,30,29,30,30,30,29,28,28
"North Carolina State University at Raleigh - North Carolina",32,32,31,31,31,31,30,30,28,28,27,27,26,28
"Florida Polytechnic University - Florida",32,31,31,29,28,29,27,,,,,,,
"Babson College - Massachusetts",32,32,32,32,31,30,30,30,29,31,29,29,29,29
"Binghamton University - New York",32,32,32,31,31,31,30,30,31,30,29,29,29,29
"California Polytechnic State University-San Luis Obispo - California",32,32,32,31,31,31,30,30,29,29,29,28,28,28
"DigiPen Institute of Technology - Washington",32,30,31,30,31,30,31,30,31,30,29,30,29,28
"Ohio State University-Main Campus - Ohio",32,32,32,31,31,31,31,31,30,30,30,30,29,29
"University of Connecticut - Connecticut",32,32,31,31,31,31,30,30,30,29,29,28,28,27
"Rhodes College - Tennessee",32,32,31,32,31,32,31,31,31,31,30,30,30,30
"Furman University - South Carolina",32,32,32,31,,,,30,29,31,30,30,31,30
"Sarah Lawrence College - New York",32,31,32,31,31,,,,,,,,,
"Brigham Young University - Utah",32,31,31,32,31,31,31,31,31,30,30,30,30,30
"Santa Clara University - California",32,32,32,32,32,32,32,31,31,30,30,29,29,28
"Bucknell University - Pennsylvania",32,32,32,31,32,32,32,32,31,31,31,31,31,30
"Illinois Institute of Technology - Illinois",32,32,31,31,31,30,31,30,30,31,31,30,30,30
"University of Pittsburgh-Pittsburgh Campus - Pennsylvania",32,33,33,32,32,31,31,30,30,30,30,30,29,29
"University of Alabama in Huntsville - Alabama",31,31,31,31,31,30,30,29,29,29,28,27,27,27
"Lewis & Clark College - Oregon",31,31,,31,31,,,31,,30,30,31,31,30
"Albany College of Pharmacy and Health Sciences - New York",31,29,28,28,27,28,28,29,27,27,28,29,30,26
"Emerson College - Massachusetts",31,31,31,30,30,29,30,30,29,29,29,29,29,29
"Yeshiva University - New York",31,30,30,29,30,29,29,29,28,29,28,28,28,28
"Westmont College - California",31,30,30,30,29,29,29,29,29,29,29,29,28,29
"Loyola Marymount University - California",31,31,31,31,30,30,30,29,29,28,28,28,27,28
"Skidmore College - New York",31,32,31,31,30,30,30,30,30,30,30,29,29,28
"CUNY Hunter College - New York",31,,,,,,,,,,,,,
"Texas Christian University - Texas",31,31,30,30,30,30,30,29,30,29,28,28,28,28
"Saint Louis University - Missouri",31,30,31,31,31,31,30,30,30,30,31,30,29,28
"University of California-Riverside - California",31,30,29,29,27,28,27,25,25,24,24,23,24,23
"Florida State University - Florida",31,30,30,30,29,29,29,29,29,28,28,28,28,27
"Drexel University - Pennsylvania",31,31,30,30,30,30,27,30,29,29,,28,28,27
"Thomas Aquinas College - California",31,31,30,30,30,31,31,31,29,29,30,28,29,29
"The University of Alabama - Alabama",31,31,31,32,31,31,31,30,30,29,28,27,27,27
"Loyola University Chicago - Illinois",31,30,30,29,29,29,29,29,29,29,29,29,28,28
"The University of Tennessee-Knoxville - Tennessee",31,30,31,30,30,30,29,29,29,29,29,28,28,28
"University of Baltimore - Maryland",31,23,23,22,21,23,,,,20,22,21,,
"Wheaton College (Massachusetts) - Massachusetts",31,,31,30,,,,,,,,,,
"CUNY City College - New York",31,,,,,,,,,,,,,
"Mercer University - Georgia",31,30,30,30,29,30,29,28,28,29,29,29,28,27
"University of Colorado Boulder - Colorado",31,31,31,30,30,30,30,29,28,28,29,28,28,28
"Virginia Polytechnic Institute and State University - Virginia",31,31,31,30,,,,,,,,,,
"University of Vermont - Vermont",31,31,31,30,30,30,29,29,29,29,28,28,28,27
"University of Minnesota-Twin Cities - Minnesota",31,31,31,31,31,31,30,30,30,30,29,29,29,28
"Providence College - Rhode Island",31,31,30,30,28,,,28,28,27,28,28,28,28
"Auburn University - Alabama",31,31,30,30,30,30,30,30,30,30,29,28,27,27
"Indiana University-Bloomington - Indiana",31,31,31,31,30,30,30,30,29,29,29,29,28,27
"Knox College - Illinois",31,31,,,,,,,,,31,,31,
"University of Tulsa - Oklahoma",31,31,32,32,33,32,32,32,31,31,32,31,30,30
